ch1_LF5-FpZ,ch2_OTE_L-FpZ,ch3_BE_L-FpZ,ch4_RF6-FpZ,ch5_OTE_R-FpZ,ch6_BE_R-FpZ
-7143.0,298083.0,24142.0,3113.0,303305.0,6911.0
-7142.0,298061.0,25685.0,3112.0,303254.0,4967.0
-7139.0,298075.0,23642.0,3110.0,303308.0,6996.0
-7141.0,298056.0,26082.0,3107.0,303241.0,4957.0
-7142.0,298064.0,23236.0,3110.0,303317.0,7024.0
-7144.0,298073.0,26565.0,3112.0,303237.0,5005.0
-7142.0,298052.0,23106.0,3114.0,303320.0,7022.0
-7145.0,298074.0,26925.0,3110.0,303242.0,5139.0
-7145.0,298048.0,22918.0,3118.0,303329.0,6984.0
-7146.0,298080.0,27024.0,3115.0,303245.0,5355.0
-7148.0,298032.0,22742.0,3119.0,303326.0,6858.0
-7148.0,298074.0,26979.0,3116.0,303242.0,5572.0
-7148.0,298032.0,22735.0,3119.0,303322.0,6689.0
-7142.0,298090.0,26859.0,3115.0,303244.0,5791.0
-7147.0,298030.0,22870.0,3115.0,303317.0,6444.0
-7145.0,298082.0,26621.0,3110.0,303248.0,6088.0
-7150.0,298027.0,23081.0,3113.0,303301.0,6260.0
-7144.0,298084.0,26223.0,3107.0,303255.0,6372.0
-7146.0,298024.0,23432.0,3110.0,303296.0,6046.0
-7143.0,298084.0,25757.0,3107.0,303270.0,6616.0
-7149.0,298030.0,23820.0,3111.0,303282.0,5825.0
-7147.0,298080.0,25146.0,3109.0,303269.0,6854.0
-7148.0,298029.0,24169.0,3111.0,303270.0,5602.0
-7144.0,298070.0,24513.0,3110.0,303290.0,7061.0
-7146.0,298033.0,24634.0,3112.0,303256.0,5434.0
-7143.0,298061.0,23924.0,3113.0,303292.0,7219.0
-7145.0,298036.0,25108.0,3115.0,303249.0,5341.0
-7140.0,298048.0,23407.0,3113.0,303304.0,7336.0
-7142.0,298042.0,25558.0,3111.0,303247.0,5333.0
-7142.0,298055.0,22937.0,3112.0,303317.0,7423.0
