ch1_LF5-FpZ,ch2_OTE_L-FpZ,ch3_BE_L-FpZ,ch4_RF6-FpZ,ch5_OTE_R-FpZ,ch6_BE_R-FpZ
5016.0,275416.0,-18146.0,24424.0,262983.0,-40747.0
5055.0,278653.0,16279.0,24537.0,276258.0,16263.0
5013.0,275197.0,-18594.0,24414.0,262754.0,-37660.0
5059.0,278836.0,16009.0,24546.0,276262.0,13083.0
5002.0,275021.0,-17985.0,24410.0,262901.0,-33058.0
5062.0,278895.0,14539.0,24544.0,275812.0,8358.0
4994.0,274995.0,-16272.0,24411.0,263498.0,-27009.0
5078.0,278876.0,12285.0,24542.0,274978.0,2387.0
4994.0,275107.0,-13714.0,24413.0,264449.0,-20137.0
5065.0,278680.0,9079.0,24533.0,273867.0,-4207.0
5004.0,275302.0,-10392.0,24425.0,265737.0,-12456.0
5082.0,278449.0,5403.0,24523.0,272437.0,-11200.0
4996.0,275613.0,-6444.0,24431.0,267239.0,-4838.0
5060.0,278088.0,1201.0,24506.0,270892.0,-18120.0
5009.0,275993.0,-2214.0,24441.0,268930.0,2679.0
5071.0,277670.0,-3149.0,24493.0,269207.0,-24438.0
5005.0,276473.0,2131.0,24460.0,270608.0,9412.0
5053.0,277186.0,-7474.0,24477.0,267561.0,-30001.0
5015.0,276995.0,6273.0,24477.0,272257.0,14993.0
5052.0,276685.0,-11404.0,24461.0,265965.0,-34390.0
5017.0,277478.0,10040.0,24496.0,273692.0,18862.0
5048.0,276222.0,-14791.0,24445.0,264583.0,-37331.0
5029.0,277931.0,12893.0,24510.0,274897.0,20977.0
5039.0,275767.0,-17328.0,24431.0,263558.0,-38401.0
5045.0,278357.0,14800.0,24520.0,275766.0,21242.0
5027.0,275431.0,-18787.0,24417.0,262939.0,-37411.0
5058.0,278674.0,15660.0,24527.0,276277.0,19831.0
5010.0,275140.0,-19285.0,24407.0,262765.0,-34299.0
5067.0,278844.0,15370.0,24536.0,276316.0,16855.0
5015.0,275018.0,-18679.0,24406.0,262947.0,-29573.0
5070.0,278897.0,13998.0,24541.0,275933.0,12286.0
5008.0,274998.0,-17060.0,24406.0,263581.0,-23356.0
5074.0,278859.0,11638.0,24537.0,275132.0,6648.0
